species,year,decimalLatitude,decimalLongitude
Ariolimax buttoni,2022,38.36948,-122.502883
Ariolimax buttoni,2020,37.923852,-122.303853
Ariolimax buttoni,2021,38.069908,-122.85125
Ariolimax buttoni,2022,38.045464,-122.877808
Ariolimax buttoni,2019,39.056817,-120.572505
Ariolimax buttoni,2018,37.935598,-122.729132
Ariolimax buttoni,2021,37.890145,-122.577263
Ariolimax buttoni,2021,39.740622,-123.631828
Ariolimax buttoni,2020,37.859034,-122.575426
Ariolimax buttoni,2022,38.128443,-122.888208
Ariolimax buttoni,2021,38.708629,-123.075072
Ariolimax buttoni,2020,37.845888,-122.193817
Ariolimax buttoni,2022,38.731649,-123.462831
Ariolimax buttoni,2021,37.919322,-122.27678
Ariolimax buttoni,2022,37.91415,-122.621567
Ariolimax buttoni,2021,38.723083,-120.780136
Ariolimax buttoni,2022,36.564697,-121.871383
Ariolimax buttoni,2021,37.924647,-122.302138
Ariolimax buttoni,2022,37.9147,-122.084703
Ariolimax buttoni,2021,37.996617,-123.014778
Ariolimax buttoni,2022,38.339222,-122.598401
Ariolimax buttoni,2022,37.967659,-122.268065
Ariolimax buttoni,2021,39.73513,-123.634317
Ariolimax buttoni,2021,39.179913,-123.649383
Ariolimax buttoni,2020,39.373894,-123.810272
Ariolimax buttoni,2021,39.407795,-123.81482
Ariolimax buttoni,2021,37.99694,-123.018715
Ariolimax buttoni,2020,39.315726,-123.800288
Ariolimax buttoni,2022,37.966932,-122.268314
Ariolimax buttoni,2022,37.855314,-122.206183
Ariolimax buttoni,2022,37.814788,-122.181045
Ariolimax buttoni,2012,37.936075,-122.166595
Ariolimax buttoni,2020,38.579966,-123.311123
Ariolimax buttoni,2022,39.321112,-120.65448
Ariolimax buttoni,2019,38.575813,-123.331803
Ariolimax buttoni,2021,38.769737,-123.51039
Ariolimax buttoni,2022,38.061114,-122.853388
Ariolimax buttoni,2022,37.765589,-122.439441
Ariolimax buttoni,2022,37.946397,-122.623069
Ariolimax buttoni,2020,39.208153,-123.735313
Ariolimax buttoni,2021,37.798993,-122.161326
Ariolimax buttoni,2020,37.86385,-122.243762
Ariolimax buttoni,2021,39.344733,-123.711845
Ariolimax buttoni,2022,37.797724,-122.159946
Ariolimax buttoni,2021,38.355911,-123.00369
Ariolimax buttoni,2021,38.683014,-123.43198
Ariolimax buttoni,2021,38.761045,-123.517293
Ariolimax buttoni,2022,38.434183,-122.511259
Ariolimax buttoni,2022,38.434078,-122.511481
Ariolimax buttoni,2022,38.030321,-122.872535
Ariolimax buttoni,2022,37.994732,-122.804511
Ariolimax buttoni,2022,38.089958,-122.875922
Ariolimax buttoni,2021,39.315422,-123.702172
Ariolimax buttoni,2016,38.53249,-123.002608
Ariolimax buttoni,2022,37.892762,-122.572514
Ariolimax buttoni,2020,37.834446,-122.496975
Ariolimax buttoni,2022,37.869228,-122.528145
Ariolimax buttoni,2018,37.395956,-121.809298
Ariolimax buttoni,2022,37.18465,-121.979972
Ariolimax buttoni,2022,38.338362,-122.597192
Ariolimax buttoni,2022,38.564072,-123.313987
Ariolimax buttoni,2022,37.170456,-121.980103
Ariolimax buttoni,2020,39.069278,-123.393833
Ariolimax buttoni,2021,37.760678,-122.454178
Ariolimax buttoni,2022,39.274072,-123.78032
Ariolimax buttoni,2022,37.903613,-122.625431
Ariolimax buttoni,2020,37.31896,-121.977998
Ariolimax buttoni,2022,38.577793,-123.314624
Ariolimax buttoni,2021,39.127464,-123.164078
Ariolimax buttoni,2020,37.808642,-122.177197
Ariolimax buttoni,2021,37.086299,-121.800095
Ariolimax buttoni,2019,38.580355,-123.296059
Ariolimax buttoni,2019,38.590542,-123.32167
Ariolimax buttoni,2022,38.091045,-122.849045
Ariolimax buttoni,2019,38.688338,-123.420892
Ariolimax buttoni,2021,38.491803,-123.06675
Ariolimax buttoni,2018,38.572072,-123.318322
Ariolimax buttoni,2022,39.169208,-123.642945
Ariolimax buttoni,2020,38.583177,-123.324789
Ariolimax buttoni,2018,38.570781,-123.317994
Ariolimax buttoni,2022,38.438256,-122.519259
Ariolimax buttoni,2018,37.931178,-122.736137
Ariolimax buttoni,2020,38.036278,-122.804122
Ariolimax buttoni,2020,39.907372,-121.620545
Ariolimax buttoni,2020,38.020231,-122.810617
Ariolimax buttoni,2020,38.413318,-122.956708
Ariolimax buttoni,2019,38.4469,-122.973787
Ariolimax buttoni,2020,38.396352,-122.970117
Ariolimax buttoni,2022,39.352833,-123.790992
Ariolimax buttoni,2022,38.398544,-122.99249
Ariolimax buttoni,2019,38.338322,-122.597253
Ariolimax buttoni,2014,38.57164,-122.68831
Ariolimax buttoni,2015,38.369365,-122.502088
Ariolimax buttoni,2020,37.950122,-122.2632
Ariolimax buttoni,2017,38.302301,-123.061984
Ariolimax buttoni,2020,38.100239,-122.864212
Ariolimax buttoni,2019,38.575275,-123.320794
Ariolimax buttoni,2015,38.564342,-122.690286
Ariolimax buttoni,2020,37.898862,-122.577095
Ariolimax buttoni,2017,38.368939,-122.498782
Ariolimax buttoni,2014,38.369302,-123.00182
Ariolimax buttoni,2016,38.369382,-122.502173
Ariolimax buttoni,2016,38.468456,-123.016575
Ariolimax buttoni,2022,37.07925,-121.802812
Ariolimax buttoni,2019,38.575008,-123.295088
Ariolimax buttoni,2016,38.432467,-122.974587
Ariolimax buttoni,2016,37.897737,-122.557122
Ariolimax buttoni,2018,38.508442,-122.885017
Ariolimax buttoni,2020,37.885646,-122.261119
Ariolimax buttoni,2013,38.5742,-122.68466
Ariolimax buttoni,2015,38.57431,-122.68464
Ariolimax buttoni,2020,39.224886,-120.951842
Ariolimax buttoni,2020,38.484688,-122.570862
Ariolimax buttoni,2022,39.332305,-123.809232
Ariolimax buttoni,2018,38.304818,-123.011719
Ariolimax buttoni,2014,38.57083,-122.68487
Ariolimax buttoni,2022,38.399338,-122.992734
Ariolimax buttoni,2022,39.323322,-123.70597
Ariolimax buttoni,2020,38.027853,-122.80174
Ariolimax buttoni,2020,38.411526,-122.955706
Ariolimax buttoni,2022,39.306648,-120.669256
Ariolimax buttoni,2022,39.054965,-120.572135
Ariolimax buttoni,2019,38.369316,-122.50169
Ariolimax buttoni,2022,38.398749,-122.992876
Ariolimax buttoni,2022,37.93345,-122.63588
Ariolimax buttoni,2022,37.914425,-122.613388
Ariolimax buttoni,2022,39.511197,-123.75598
Ariolimax buttoni,2022,37.598688,-121.938705
Ariolimax buttoni,2022,38.769431,-123.511824
Ariolimax buttoni,2019,38.572064,-122.688569
Ariolimax buttoni,2017,38.432657,-122.972788
Ariolimax buttoni,2022,38.034691,-122.802002
Ariolimax buttoni,2016,38.368887,-122.500985
Ariolimax buttoni,2022,38.535537,-123.00626
Ariolimax buttoni,2019,38.436172,-122.514953
Ariolimax buttoni,2014,38.367471,-122.507571
Ariolimax buttoni,2014,38.369156,-122.501549
Ariolimax buttoni,2022,38.95473,-123.73562
Ariolimax buttoni,2022,37.995369,-122.802521
Ariolimax buttoni,2020,37.234915,-122.064082
Ariolimax buttoni,2019,38.572186,-123.317509
Ariolimax buttoni,2017,38.043857,-122.804483
Ariolimax buttoni,2021,37.886712,-122.625992
Ariolimax buttoni,2017,38.068729,-122.851396
Ariolimax buttoni,2017,38.046758,-122.806753
Ariolimax buttoni,2022,38.041497,-122.798042
Ariolimax buttoni,2021,37.9915,-122.716393
Ariolimax buttoni,2019,38.30328,-122.462233
Ariolimax buttoni,2019,38.407356,-123.021017
Ariolimax buttoni,2020,37.830905,-122.508938
Ariolimax buttoni,2015,38.431898,-122.971989
Ariolimax buttoni,2018,38.043983,-122.875022
Ariolimax buttoni,2022,37.905933,-122.610725
Ariolimax buttoni,2022,37.89797,-122.57698
Ariolimax buttoni,2022,38.041829,-122.825178
Ariolimax buttoni,2019,38.019472,-122.734339
Ariolimax buttoni,2018,38.005736,-122.796659
Ariolimax buttoni,2020,39.112789,-120.919197
Ariolimax buttoni,2018,38.077167,-122.852128
Ariolimax buttoni,2014,37.936969,-122.67056
Ariolimax buttoni,2022,38.020079,-122.66027
Ariolimax buttoni,2022,37.91352,-122.614022
Ariolimax buttoni,2021,38.002258,-122.668358
Ariolimax buttoni,2022,38.059017,-122.852487
Ariolimax buttoni,2016,38.433811,-122.974634
Ariolimax buttoni,2020,37.921367,-122.180998
Ariolimax buttoni,2020,38.560588,-122.678012
Ariolimax buttoni,2019,38.469551,-123.018153
Ariolimax buttoni,2022,37.952587,-122.766962
Ariolimax buttoni,2018,38.563983,-123.299003
Ariolimax buttoni,2016,38.507929,-122.884055
Ariolimax buttoni,2020,37.924881,-122.302185
Ariolimax buttoni,2022,37.89674,-122.580594
Ariolimax buttoni,2016,38.369735,-122.502961
Ariolimax buttoni,2018,38.58541,-122.69229
Ariolimax buttoni,2022,38.113553,-122.870338
Ariolimax buttoni,2018,38.620995,-122.844736
Ariolimax buttoni,2017,38.518007,-123.241319
Ariolimax buttoni,2019,38.571,-122.68683
Ariolimax buttoni,2017,38.58254,-122.68931
Ariolimax buttoni,2014,38.57073,-122.68504
Ariolimax buttoni,2022,37.900567,-122.58397
Ariolimax buttoni,2016,38.432596,-122.97365
Ariolimax buttoni,2020,37.952458,-122.77365
Ariolimax buttoni,2020,38.008889,-122.606278
Ariolimax buttoni,2020,38.045228,-122.857023
Ariolimax buttoni,2022,37.913643,-122.614259
Ariolimax buttoni,2020,38.572509,-122.689325
Ariolimax buttoni,2022,38.025304,-122.852473
Ariolimax buttoni,2020,38.516713,-122.584969
Ariolimax buttoni,2019,38.54272,-123.010239
Ariolimax buttoni,2020,37.900772,-122.582122
Ariolimax buttoni,2022,37.893829,-122.573029
Ariolimax buttoni,2020,39.357741,-123.81237
Ariolimax buttoni,2020,37.829177,-122.524314
Ariolimax buttoni,2020,37.870556,-122.215939
Ariolimax buttoni,2022,38.769322,-123.510987
Ariolimax buttoni,2022,39.328542,-123.762164
Ariolimax buttoni,2018,38.572064,-123.318458
Ariolimax buttoni,2021,39.340184,-123.691454
Ariolimax buttoni,2020,39.404728,-123.708612
Ariolimax buttoni,2019,38.437189,-122.51629
Ariolimax buttoni,2022,37.902898,-122.568846
Ariolimax buttoni,2022,39.276938,-123.784217
Ariolimax buttoni,2021,39.341231,-123.690472
Ariolimax buttoni,2020,37.805837,-122.147994
Ariolimax buttoni,2022,37.895391,-122.248383
Ariolimax buttoni,2020,37.924675,-122.301949
Ariolimax buttoni,2021,38.522178,-123.085503
Ariolimax buttoni,2022,38.461901,-123.150362
Ariolimax buttoni,2022,37.08596,-121.792726
Ariolimax buttoni,2021,39.426862,-123.62912
Ariolimax buttoni,2022,37.08596,-121.792726
Ariolimax buttoni,2022,39.740945,-123.62963
Ariolimax buttoni,2021,39.275837,-123.77368
Ariolimax buttoni,2020,39.292694,-121.093835
Ariolimax buttoni,2020,39.325331,-121.012554
Ariolimax buttoni,2019,38.435455,-122.513787
Ariolimax buttoni,2022,39.339692,-123.728072
Ariolimax buttoni,2022,39.331604,-123.761485
Ariolimax buttoni,2020,38.018506,-122.818297
Ariolimax buttoni,2020,37.82263,-122.183372
Ariolimax buttoni,2020,39.597785,-120.798591
Ariolimax buttoni,2017,39.316949,-123.748309
Ariolimax buttoni,2017,39.913782,-121.188017
Ariolimax buttoni,2019,39.743156,-121.439842
Ariolimax buttoni,2020,37.813114,-122.18151
Ariolimax buttoni,2022,38.072075,-122.917428
Ariolimax buttoni,2018,37.896855,-122.581134
Ariolimax buttoni,2020,36.5892,-121.896233
Ariolimax buttoni,2018,38.471469,-123.047975
Ariolimax buttoni,2020,38.098061,-122.636383
Ariolimax buttoni,2020,37.848649,-122.194315
Ariolimax buttoni,2020,38.037042,-122.806542
Ariolimax buttoni,2022,38.001761,-122.769108
Ariolimax buttoni,2020,37.9057,-122.558455
Ariolimax buttoni,2020,38.037639,-122.817367
Ariolimax buttoni,2019,38.059487,-122.845915
Ariolimax buttoni,2022,39.330494,-123.802271
Ariolimax buttoni,2022,37.892986,-122.572335
Ariolimax buttoni,2022,39.35897,-123.815545
Ariolimax buttoni,2020,39.508193,-121.222159
Ariolimax buttoni,2022,38.244859,-120.239341
Ariolimax buttoni,2022,38.046179,-122.830595
Ariolimax buttoni,2020,37.924892,-122.302008
Ariolimax buttoni,2019,38.481449,-122.930974
Ariolimax buttoni,2017,38.620989,-122.844669
Ariolimax buttoni,2022,38.707642,-123.427182
Ariolimax buttoni,2020,37.215446,-121.782584
Ariolimax buttoni,2020,37.9209,-122.168016
Ariolimax buttoni,2020,37.787919,-122.186177
Ariolimax buttoni,2020,37.645939,-122.03757
Ariolimax buttoni,2022,40.248704,-123.297129
Ariolimax buttoni,2019,37.906698,-122.611226
Ariolimax buttoni,2020,38.6934,-122.527083
Ariolimax buttoni,2022,38.371147,-122.967636
Ariolimax buttoni,2020,37.860538,-122.564804
Ariolimax buttoni,2022,38.71687,-120.552253
Ariolimax buttoni,2020,38.027986,-122.80238
Ariolimax buttoni,2020,38.415845,-123.093375
Ariolimax buttoni,2018,38.470476,-123.027015
Ariolimax buttoni,2022,39.271228,-123.731942
Ariolimax buttoni,2020,37.89708,-122.593462
Ariolimax buttoni,2017,38.537013,-123.006294
Ariolimax buttoni,2022,39.858422,-121.566488
Ariolimax buttoni,2022,39.276937,-123.777603
Ariolimax buttoni,2017,38.447353,-123.044578
Ariolimax buttoni,2017,39.72047,-123.801422
Ariolimax buttoni,2020,37.911383,-122.260283
Ariolimax buttoni,2022,37.875504,-122.582237
Ariolimax buttoni,2021,38.046222,-122.876663
Ariolimax buttoni,2022,39.332322,-123.762742
Ariolimax buttoni,2021,37.829147,-122.532372
Ariolimax buttoni,2021,38.113031,-122.871117
Ariolimax buttoni,2010,39.327724,-123.804335
Ariolimax buttoni,2020,38.495513,-123.009972
Ariolimax buttoni,2020,37.809455,-122.157669
Ariolimax buttoni,2020,39.200063,-121.041851
Ariolimax buttoni,2020,37.915681,-122.542686
Ariolimax buttoni,2019,37.906292,-122.554312
Ariolimax buttoni,2022,38.768759,-123.513355
Ariolimax buttoni,2022,39.320374,-120.653787
Ariolimax buttoni,2022,39.26975,-123.732178
Ariolimax buttoni,2022,37.081781,-121.798813
Ariolimax buttoni,2022,39.356137,-123.754312
Ariolimax buttoni,2020,37.871189,-122.529251
Ariolimax buttoni,2020,37.992017,-122.794961
Ariolimax buttoni,2022,39.320374,-120.653787
Ariolimax buttoni,2022,39.276708,-123.787664
Ariolimax buttoni,2020,37.809375,-122.153961
Ariolimax buttoni,2020,37.892363,-122.250438
Ariolimax buttoni,2022,38.537067,-123.005714
Ariolimax buttoni,2020,37.776021,-122.123711
Ariolimax buttoni,2019,38.369748,-122.506703
Ariolimax buttoni,2021,37.9017,-122.587455
Ariolimax buttoni,2021,38.688319,-123.418704
Ariolimax buttoni,2022,37.882471,-122.226823
Ariolimax buttoni,2021,39.373665,-123.794155
Ariolimax buttoni,2018,39.275342,-123.788628
Ariolimax buttoni,2017,39.158099,-123.229631
Ariolimax buttoni,2021,38.564388,-123.325465
Ariolimax buttoni,2019,39.263086,-123.737656
Ariolimax buttoni,2020,38.058133,-122.886811
Ariolimax buttoni,2017,38.249535,-122.944274
Ariolimax buttoni,2021,39.329904,-123.798093
Ariolimax buttoni,2018,39.312586,-123.744083
Ariolimax buttoni,2021,39.373897,-123.811683
Ariolimax buttoni,2007,39.402774,-123.365975
Ariolimax buttoni,2021,39.359447,-123.804654
Ariolimax buttoni,2015,37.170719,-121.420195
Ariolimax buttoni,2013,38.621818,-122.847386
Ariolimax buttoni,2020,37.278923,-122.074075
Ariolimax buttoni,2019,39.358008,-123.749789
Ariolimax buttoni,2021,37.170337,-121.980133
Ariolimax buttoni,2017,39.303487,-123.78901
Ariolimax buttoni,2020,38.126614,-122.89498
Ariolimax buttoni,2014,39.268187,-123.367902
Ariolimax buttoni,2021,39.301652,-123.763205
Ariolimax buttoni,2021,39.27575,-123.769372
Ariolimax buttoni,2018,38.03885,-122.623537
Ariolimax buttoni,2015,39.515529,-123.776912
Ariolimax buttoni,2021,39.581447,-123.443633
Ariolimax buttoni,2021,38.40215,-122.502992
Ariolimax buttoni,2021,38.40718,-123.020343
Ariolimax buttoni,2021,38.067351,-122.918261
Ariolimax buttoni,2021,37.93243,-122.679703
Ariolimax buttoni,2021,36.577588,-121.907605
Ariolimax buttoni,2020,38.477992,-123.1428
Ariolimax buttoni,2021,37.810876,-122.155364
Ariolimax buttoni,2005,39.983697,-121.318073
Ariolimax buttoni,2021,37.936802,-122.2961
Ariolimax buttoni,2021,37.81397,-122.194695
Ariolimax buttoni,2021,36.564204,-121.874343
Ariolimax buttoni,2021,38.205786,-122.758697
Ariolimax buttoni,2021,38.57962,-123.333083
Ariolimax buttoni,2021,37.992875,-122.510475
Ariolimax buttoni,2021,37.827603,-122.163504
Ariolimax buttoni,2021,38.405017,-123.013847
Ariolimax buttoni,2021,37.959075,-122.572137
Ariolimax buttoni,2021,38.576093,-122.691459
Ariolimax buttoni,2020,39.377534,-123.814565
Ariolimax buttoni,2021,37.52842,-121.809922
Ariolimax buttoni,2012,39.229354,-123.390546
Ariolimax buttoni,2019,39.414571,-123.664996
Ariolimax buttoni,2015,38.813072,-123.594093
Ariolimax buttoni,2021,38.574167,-123.324333
Ariolimax buttoni,2020,38.734753,-123.487504
Ariolimax buttoni,2017,39.489475,-123.800658
Ariolimax buttoni,2021,37.939155,-122.157861
Ariolimax buttoni,2021,39.417245,-123.782258
Ariolimax buttoni,2020,37.837303,-122.543372
Ariolimax buttoni,2021,39.348147,-123.231772
Ariolimax buttoni,2021,38.913788,-121.028282
Ariolimax buttoni,2021,39.376358,-123.804506
Ariolimax buttoni,2021,37.930083,-122.552597
Ariolimax buttoni,2021,39.352509,-123.557171
Ariolimax buttoni,2021,39.359342,-123.811098
Ariolimax buttoni,2021,37.796488,-122.149451
Ariolimax buttoni,2021,39.333847,-123.785942
Ariolimax buttoni,2021,37.795588,-122.148538
Ariolimax buttoni,2021,37.973488,-122.60917
Ariolimax buttoni,2018,38.904408,-123.639228
Ariolimax buttoni,2021,38.205574,-122.760382
Ariolimax buttoni,2018,38.069865,-122.590298
Ariolimax buttoni,2016,39.389591,-123.817148
Ariolimax buttoni,2020,37.908783,-122.572258
Ariolimax buttoni,2020,38.399133,-122.508577
Ariolimax buttoni,2020,38.126495,-122.894905
Ariolimax buttoni,2021,37.91505,-122.613388
Ariolimax buttoni,2020,38.004886,-122.710091
Ariolimax buttoni,2020,38.005077,-122.710423
Ariolimax buttoni,2017,39.369938,-123.822681
Ariolimax buttoni,2021,38.404339,-122.498768
Ariolimax buttoni,2021,38.000048,-122.707858
Ariolimax buttoni,2021,37.997945,-122.203912
Ariolimax buttoni,2015,39.338877,-123.093734
Ariolimax buttoni,2021,38.040345,-122.877399
Ariolimax buttoni,2021,38.067221,-122.918646
Ariolimax buttoni,2021,37.939087,-122.627097
Ariolimax buttoni,2021,38.000454,-122.710918
Ariolimax buttoni,2018,39.186032,-123.717041
Ariolimax buttoni,2016,38.010195,-122.99476
Ariolimax buttoni,2021,38.04762,-122.870153
Ariolimax buttoni,2021,37.970373,-122.551771
Ariolimax buttoni,2021,38.543358,-123.243155
Ariolimax buttoni,2020,39.373026,-123.768955
Ariolimax buttoni,2021,37.817975,-122.148842
Ariolimax buttoni,2021,37.894675,-122.57473
Ariolimax buttoni,2020,38.165047,-122.917458
Ariolimax buttoni,2021,38.205856,-122.758726
Ariolimax buttoni,2019,39.387512,-123.731737
Ariolimax buttoni,2021,38.9043,-123.3364
Ariolimax buttoni,2020,37.79782,-122.150344
Ariolimax buttoni,2018,39.299545,-123.790505
Ariolimax buttoni,2016,38.06873,-122.764346
Ariolimax buttoni,2021,37.903439,-122.586734
Ariolimax buttoni,2021,37.797269,-122.150087
Ariolimax buttoni,2021,38.537228,-123.006989
Ariolimax buttoni,2021,37.848076,-121.927923
Ariolimax buttoni,2021,38.019742,-122.661933
Ariolimax buttoni,2021,38.574231,-123.304642
Ariolimax buttoni,2021,38.413733,-122.955405
Ariolimax buttoni,2017,39.414813,-121.125197
Ariolimax buttoni,2021,38.576765,-122.690611
Ariolimax buttoni,2021,37.831025,-122.525658
Ariolimax buttoni,2021,39.276544,-123.749765
Ariolimax buttoni,2021,37.830988,-122.52568
Ariolimax buttoni,2021,37.830919,-122.528347
Ariolimax buttoni,2021,37.02311,-121.902958
Ariolimax buttoni,2021,37.978098,-122.613899
Ariolimax buttoni,2021,37.930725,-122.550728
Ariolimax buttoni,2014,37.894261,-122.573222
Ariolimax buttoni,2020,38.018167,-122.800462
Ariolimax buttoni,2021,37.819977,-122.200583
Ariolimax buttoni,2021,38.706901,-123.451679
Ariolimax buttoni,2021,38.592782,-122.482394
Ariolimax buttoni,2014,37.892629,-122.572432
Ariolimax buttoni,2014,37.924919,-122.545053
Ariolimax buttoni,2021,37.925503,-122.558188
Ariolimax buttoni,2021,39.22591,-120.959821
Ariolimax buttoni,2021,38.07077,-122.918663
Ariolimax buttoni,2021,37.931228,-122.550125
Ariolimax buttoni,2021,39.476246,-121.229493
Ariolimax buttoni,2021,37.954558,-122.614687
Ariolimax buttoni,2021,37.793912,-122.142814
Ariolimax buttoni,2021,38.687872,-123.419598
Ariolimax buttoni,2021,37.831025,-122.525642
Ariolimax buttoni,2021,37.831,-122.525672
Ariolimax buttoni,2021,37.909192,-122.576728
Ariolimax buttoni,2021,38.037547,-122.880008
Ariolimax buttoni,2021,38.576791,-122.690757
